,Date,Net_month_art
0,2010-01-31,0.0
1,2010-02-28,0.0
2,2010-03-31,0.0
3,2010-04-30,0.0
4,2010-05-31,0.0
5,2010-06-30,0.0
6,2010-07-31,0.0
7,2010-08-31,0.0
8,2010-09-30,0.0
9,2010-10-31,0.0
10,2010-11-30,0.0
11,2010-12-31,0.0
12,2011-01-31,0.0
13,2011-02-28,0.0
14,2011-03-31,0.0
15,2011-04-30,0.0
16,2011-05-31,0.0
17,2011-06-30,0.0
18,2011-07-31,0.0
19,2011-08-31,0.0
20,2011-09-30,0.0
21,2011-10-31,0.0
22,2011-11-30,0.0
23,2011-12-31,0.0
24,2012-01-31,0.0
25,2012-02-29,0.0
26,2012-03-31,0.0
27,2012-04-30,0.0
28,2012-05-31,0.0
29,2012-06-30,0.0
30,2012-07-31,0.0
31,2012-08-31,0.0
32,2012-09-30,0.0
33,2012-10-31,0.0
34,2012-11-30,0.0
35,2012-12-31,0.0
36,2013-01-31,0.0
37,2013-02-28,0.0
38,2013-03-31,0.0
39,2013-04-30,0.0
40,2013-05-31,0.0
41,2013-06-30,0.0
42,2013-07-31,0.0
43,2013-08-31,0.0
44,2013-09-30,0.0
45,2013-10-31,0.0
46,2013-11-30,0.0
47,2013-12-31,0.0
48,2014-01-31,0.0
49,2014-02-28,0.0
50,2014-03-31,0.0
51,2014-04-30,0.0
52,2014-05-31,0.0
53,2014-06-30,0.0
54,2014-07-31,0.0
55,2014-08-31,0.0
56,2014-09-30,0.0
57,2014-10-31,0.0
58,2014-11-30,0.0
59,2014-12-31,0.0
60,2015-01-31,0.0
61,2015-02-28,0.0
62,2015-03-31,0.0
63,2015-04-30,0.0
64,2015-05-31,0.0
65,2015-06-30,0.0
66,2015-07-31,0.0
67,2015-08-31,0.0
68,2015-09-30,0.0
69,2015-10-31,0.0
70,2015-11-30,0.0
71,2015-12-31,0.0
72,2016-01-31,0.0
73,2016-02-29,0.0
74,2016-03-31,0.0
75,2016-04-30,0.0
76,2016-05-31,0.0
77,2016-06-30,0.0
78,2016-07-31,0.0
79,2016-08-31,0.0
80,2016-09-30,0.0
81,2016-10-31,0.0
82,2016-11-30,0.0
83,2016-12-31,0.0
84,2017-01-31,83.0
85,2017-02-28,126.0
86,2017-03-31,196.0
87,2017-04-30,203.0
88,2017-05-31,437.0
89,2017-06-30,537.0
90,2017-07-31,474.0
91,2017-08-31,343.0
92,2017-09-30,539.0
93,2017-10-31,557.0
94,2017-11-30,496.0
95,2017-12-31,458.0
96,2018-01-31,431.0
97,2018-02-28,477.0
98,2018-03-31,501.0
99,2018-04-30,408.0
100,2018-05-31,479.0
101,2018-06-30,604.0
102,2018-07-31,616.0
103,2018-08-31,417.0
104,2018-09-30,468.0
105,2018-10-31,431.0
106,2018-11-30,414.0
107,2018-12-31,408.0
108,2019-01-31,325.0
109,2019-02-28,402.0
110,2019-03-31,476.0
111,2019-04-30,485.0
112,2019-05-31,461.0
113,2019-06-30,609.0
114,2019-07-31,513.0
115,2019-08-31,356.0
116,2019-09-30,467.0
117,2019-10-31,446.0
118,2019-11-30,440.0
119,2019-12-31,415.0
120,2020-01-31,524.0
121,2020-02-29,488.0
122,2020-03-31,472.0
123,2020-04-30,465.0
124,2020-05-31,533.0
125,2020-06-30,574.0
126,2020-07-31,546.0
127,2020-08-31,468.0
128,2020-09-30,603.0
129,2020-10-31,595.0
130,2020-11-30,556.0
131,2020-12-31,527.0
132,2021-01-31,415.0
133,2021-02-28,438.0
134,2021-03-31,540.0
135,2021-04-30,471.0
136,2021-05-31,424.0
137,2021-06-30,327.0
138,2021-07-31,238.0
139,2021-08-31,185.0
140,2021-09-30,149.0
141,2021-10-31,123.0
142,2021-11-30,123.0
143,2021-12-31,125.0
